date,vix,vix_indexed_d0,vix_delta_vs_d0_pct,dxy,dxy_indexed_d0,dxy_delta_vs_d0_pct,eurusd,eurusd_indexed_d0,eurusd_delta_vs_d0_pct,jpyusd,jpyusd_indexed_d0,jpyusd_delta_vs_d0_pct
2025-07-03,16.3799991607666,100.55247538478326,0.5524753847832695,96.8219985961914,99.4259679744204,-0.5740320255795985,1.18002450466156,100.54870903702525,0.548709037025239,143.5260009765625,96.97899739677709,-3.0210026032229074
2025-07-04,,,,96.8219985961914,99.4259679744204,-0.5740320255795985,1.1771491765975952,100.30370520553913,0.3037052055391181,144.6820068359375,97.76009830159012,-2.2399016984098883
2025-07-07,17.790000915527344,109.20810261324311,9.20810261324311,97.14099884033203,99.7535475381313,-0.2464524618686952,1.178078293800354,100.38287435407159,0.38287435407157366,144.4980010986328,97.63576757546629,-2.364232424533703
2025-07-08,16.809999465942383,103.19213334063957,3.192133340639567,97.1719970703125,99.78537944685027,-0.21462055314972936,1.1736538410186768,100.00587115317575,0.005871153175745352,145.89199829101562,98.57767670113951,-1.4223232988604855
2025-07-09,15.9399995803833,97.85143452748105,-2.14856547251896,97.1989974975586,99.81310603433646,-0.18689396566353195,1.1724566221237183,99.90385732732105,-0.09614267267894422,146.8489990234375,99.22431195124595,-0.7756880487540585
2025-07-10,15.779999732971191,96.86923785209841,-3.130762147901589,97.3219985961914,99.93941517348665,-0.06058482651335537,1.17311692237854,99.96012085230454,-0.039879147695460644,146.11399841308594,98.72767983028584,-1.2723201697141733
2025-07-11,16.399999618530273,100.67525289638309,0.6752528963830865,97.52899932861328,100.15198306602,0.1519830660199898,1.1702749729156494,99.71796117806619,-0.2820388219338157,146.28799438476562,98.84524706388645,-1.154752936113555
2025-07-14,17.200000762939453,105.58624798200418,5.586247982004184,97.76300048828125,100.39227754603954,0.39227754603953235,1.1682106256484985,99.54206020999632,-0.4579397900036811,147.2949981689453,99.5256688460028,-0.4743311539971983
2025-07-15,17.3799991607666,106.69121046027867,6.691210460278676,98.30999755859375,100.95398577333832,0.9539857733383204,1.1666297912597656,99.40735889120124,-0.5926411087987661,147.79200744628906,99.86149274610273,-0.13850725389728213
2025-07-16,17.15999984741211,105.34069295880455,5.34069295880455,98.07499694824219,100.7126649630106,0.7126649630105856,1.1607391834259033,98.90542608319728,-1.0945739168027122,148.76100158691406,100.51623181499455,0.5162318149945598
